sensor3;1.29;994533187
sensor3;3.76;994533183
sensor3;2.26;994533156
sensor3;1.78;994532879
sensor3;1.35;994532830
sensor3;1.04;994532734
sensor3;0.52;994532594
sensor3;3.53;994532579
sensor3;4.42;994532456
sensor3;4.10;994532353
sensor3;2.67;994532306
sensor3;2.03;994532255
sensor3;3.21;994532245
sensor3;2.00;994532200
sensor3;1.53;994532177
sensor3;4.85;994532172
sensor3;4.75;994532113
sensor3;0.36;994532087
sensor3;4.96;994532017
sensor3;3.13;994531766
sensor3;0.03;994531748
sensor3;1.74;994531744
sensor3;3.15;994531733
sensor3;3.88;994531722
sensor3;1.08;994531700
sensor3;0.19;994531518
sensor3;0.55;994531465
sensor3;1.86;994531447
sensor3;1.16;994531447
sensor3;0.11;994531418
sensor3;2.67;994531399
sensor3;0.73;994531244
sensor3;3.91;994531219
sensor3;3.42;994531193
sensor3;0.36;994531092
sensor3;3.35;994531083
sensor3;1.00;994531081
sensor3;0.87;994530992
sensor3;3.03;994530898
sensor3;4.76;994530845
sensor3;1.81;994530755
sensor3;2.01;994530709
sensor3;1.91;994530700
sensor3;2.73;994530644
sensor3;2.44;994530540
sensor3;3.37;994530412
sensor3;4.64;994530265
sensor3;0.13;994530233
sensor3;2.28;994530211
sensor3;2.69;994530126
sensor3;4.94;994530011
sensor3;2.06;994529892
sensor3;0.42;994529775
sensor3;3.90;994529679
sensor3;2.12;994529666
sensor3;1.21;994529615
sensor3;0.89;994529486
sensor3;0.56;994529425
sensor3;4.29;994529390
sensor3;0.95;994529258
sensor3;0.28;994529248
sensor3;3.83;994529219
sensor3;4.50;994528853
sensor3;4.06;994528807
sensor3;0.04;994528755
sensor3;3.07;994528732
sensor3;2.18;994528680
sensor3;0.96;994528626
sensor3;2.47;994528541
sensor3;2.12;994528510
sensor3;1.65;994528457
sensor3;0.28;994528384
sensor3;1.39;994528328
sensor3;4.70;994528309
sensor3;4.43;994528266
sensor3;2.72;994528180
sensor3;1.57;994528131
sensor3;1.18;994528109
sensor3;2.65;994527823
sensor3;3.58;994527616
sensor3;2.86;994527614
sensor3;3.81;994527612
sensor3;1.39;994527490
sensor3;4.86;994527452
sensor3;3.73;994527441
sensor3;1.45;994527428
sensor3;1.82;994527378
sensor3;2.82;994527375
sensor3;2.23;994527351
sensor3;1.69;994527230
sensor3;3.54;994527047
sensor3;4.08;994526794
sensor3;1.17;994526732
sensor3;2.27;994526730
sensor3;4.78;994526712
sensor3;3.88;994526684
sensor3;1.37;994526664
sensor3;0.62;994526650
sensor3;3.64;994526641
sensor3;0.29;994526481
sensor3;1.75;994526422
sensor3;4.41;994526272
sensor3;4.88;994526209
sensor3;1.43;994526194
sensor3;1.90;994525997
sensor3;1.28;994525983
sensor3;2.80;994525953
sensor3;0.82;994525840
sensor3;4.51;994525839
sensor3;4.02;994525839
sensor3;2.80;994525716
sensor3;2.42;994525581
sensor3;4.21;994525535
sensor3;1.43;994525468
sensor3;1.06;994525429
sensor3;3.97;994525401
sensor3;1.95;994525302
sensor3;2.10;994525281
sensor3;3.35;994525260
sensor3;3.43;994525225
sensor3;1.56;994525142
sensor3;2.46;994525106
sensor3;1.42;994525066
sensor3;0.37;994525064
sensor3;2.30;994524810
sensor3;3.88;994524761
sensor3;0.78;994524637
sensor3;1.32;994524498
sensor3;1.52;994524328
sensor3;4.90;994524317
sensor3;4.96;994524277
sensor3;4.66;994524243
sensor3;4.16;994524099
sensor3;1.84;994524024
sensor3;3.29;994524013
sensor3;0.27;994524010
sensor3;3.73;994523918
sensor3;4.27;994523862
sensor3;1.82;994523792
sensor3;0.41;994523782
sensor3;2.81;994523731
sensor3;3.06;994523718
sensor3;2.09;994523646
sensor3;4.66;994523631
sensor3;3.35;994523627
sensor3;1.66;994523590
sensor3;4.23;994523452
sensor3;0.72;994523336
sensor3;1.38;994523023
sensor3;3.48;994522761
sensor3;2.51;994522754
sensor3;3.66;994522721
sensor3;1.84;994522716
sensor3;3.96;994522675
sensor3;0.96;994522622
sensor3;0.84;994522590
sensor3;3.27;994522582
sensor3;1.18;994522411
sensor3;0.77;994522217
sensor3;0.00;994522167
sensor3;3.57;994522158
sensor3;0.49;994522097
sensor3;2.20;994522049
sensor3;1.26;994521995
sensor3;2.48;994521961
sensor3;1.20;994521902
sensor3;0.19;994521871
sensor3;2.18;994521856
sensor3;2.30;994521796
sensor3;0.40;994521701
sensor3;1.82;994521607
sensor3;4.42;994521478
sensor3;4.54;994521357
sensor3;1.89;994521340
