sensor9;66;805124096
sensor9;34;805124800
sensor9;9;805125071
sensor9;27;805126332
sensor9;37;805126637
sensor9;47;805126730
sensor9;96;805129484
sensor9;35;805129553
sensor9;15;805130217
sensor9;45;805130328
sensor9;55;805130343
sensor9;28;805133968
sensor9;26;805134972
sensor9;65;805136831
sensor9;89;805137801
sensor9;48;805139131
sensor9;27;805139643
sensor9;43;805139828
sensor9;97;805140711
sensor9;12;805140743
sensor9;61;805141318
sensor9;12;805141718
sensor9;39;805144542
sensor9;86;805145171
sensor9;62;805145410
sensor9;6;805146520
sensor9;95;805148126
sensor9;24;805148288
sensor9;70;805149961
sensor9;32;805150049
sensor9;34;805154754
sensor9;19;805155199
